Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten/kota (Persen)
"Kabupaten/Kota,2025,2024,2023,2022,2021"
"Musi Rawas,7.36,6.83,8.12,8.67,7.12"
"Musi Banyuasin,3.59,4.41,4.58,6.21,4.95"
"Banyu Asin,4.96,4.21,4.48,5.49,5.56"
"Ogan Komering Ulu Selatan,9.43,12.95,10.47,11.33,9.44"
"Ogan Komering Ulu Timur,6.48,7.63,8.4,8.6,5.74"
"Ogan Ilir,5.35,7.12,8.55,6.95,6.48"
"Empat Lawang,11.07,13.91,12.35,11.49,10.15"
"Penukal Abab Lematang Ilir,7.52,6.97,8.28,9.25,7.96"
"Musi Rawas Utara,6.35,6.5,7.49,8.12,5.55"
"Kota Palembang,3.58,3.36,4.59,6.12,7"
"Kota Prabumulih,7.13,7.62,8.09,10.54,13.36"
"Kota Pagar Alam,8.97,6.91,10.23,11.09,11.76"
"Kota Lubuklinggau,8.03,6.9,7.84,9.03,9.24"
"Bengkulu Selatan,8.33,9.42,9.16,10.38,8.25"
"Rejang Lebong,11.61,12.54,11.66,16.55,11.27"
"Bengkulu Utara,10.39,9.7,7.49,9.91,6.68"
"Kaur,9.62,12.36,9.52,9.54,7.01"
"Seluma,10.37,11.05,9.06,8.63,7.97"
"Mukomuko,6.75,5.56,4.86,5.94,5"
"Lebong,10.79,12.38,9.94,12.66,9.51"
"Kepahiang,9.53,13.7,13.17,15.4,11.3"
"Bengkulu Tengah,9.17,9.48,7.89,9.3,6"
"Kota Bengkulu,6.06,6.43,9.81,14.61,11.11"
"Lampung Barat,10.29,11.17,8.5,12.82,8.63"
"Tanggamus,11.13,10.65,9.19,16.81,11.76"
"Lampung Selatan,9.28,9.91,7.61,13.06,8.79"
"Lampung Timur,11.32,11.54,10.59,15.41,11.79"
"Lampung Tengah,10.96,10.25,9.35,16.45,11.42"
"Lampung Utara,10.56,10.36,10.28,16.5,11"
"Way Kanan,9.46,10.61,7.11,12.65,10.33"
"Tulangbawang,10.08,10.21,8.44,14.79,11.22"
"Pesawaran,10.23,11.36,8.43,16.18,12.68"
"Pringsewu,11.58,10.51,10.82,16.3,11.64"
"Mesuji,11.2,10.25,8.75,11.88,9.76"
"Tulang Bawang Barat,11.13,10.78,8.07,15.78,12.66"
"Pesisir Barat,9.64,8.4,7.23,9.03,6.89"
"Kota Bandar Lampung,9.22,10.05,7.43,12.41,5.91"
"Kota Metro,8.96,8.23,8.38,11.51,8.27"
"Bangka,10.5,10.45,13.4,15.78,11.36"
"Belitung,9.39,11.26,13.14,15.21,9.7"
"Bangka Barat,10.25,10.85,13.79,16.42,12.63"
"Bangka Tengah,11.11,11.55,14.51,14.82,10.87"
"Bangka Selatan,9.79,10.95,13.08,15.86,12.1"
"Belitung Timur,9.37,10.32,12.24,14.78,10.27"
"Kota Pangkal Pinang,8.75,8.68,12.74,12.95,9.63"
"Karimun,11.66,13.2,14.7,15.12,11.36"
"Bintan,12.59,13.64,15.28,13.49,12.54"
"Natuna,19,13.48,15.94,15.53,11.67"
"Lingga,21.81,20,24.11,17.33,14.38"
"Kepulauan Anambas,13.24,9.04,13.71,11.18,9.6"
"Kota Batam,7.25,7.87,7.53,9.6,5.95"
"Kota Tanjung Pinang,8.31,10.63,10.07,14.21,8.75"
"Kep. Seribu,4.93,4.39,3.63,3.91,2.41"
"Kota Jakarta Selatan,2.03,2.45,2.28,2.51,1.63"
"Kota Jakarta Timur,4.12,4.38,3.08,3.71,2.24"
"Kota Jakarta Pusat,3.03,3.63,2.91,3.82,3.08"
"Kota Jakarta Barat,3.48,3.55,2.03,2.8,2"
"Kota Jakarta Utara,2.89,3.39,2.62,4.78,2.63"
"Bogor,4.3,5.68,5.3,7.03,4.73"
"Sukabumi,4.3,5.82,5.98,7.42,4.81"
"Cianjur,4.82,5.37,7.02,9.54,6.2"
"Bandung,5.33,5.8,5.19,8.3,5.53"
"Garut,4.2,5.02,5.76,7.74,5"
"Tasikmalaya,5.41,5.95,8.65,10.45,7.12"
"Ciamis,4.96,5.78,6.1,6.74,5.87"
"Kuningan,4.52,5.83,6.43,6.63,3.73"
"Cirebon,5.2,5.65,7.28,9.04,6.19"
"Majalengka,4.91,5.95,7.9,9.88,4.94"
"Sumedang,5.06,5.43,5.55,7.43,5.09"
"Indramayu,5.75,5.46,5.4,5.99,3.97"
"Subang,5.25,6.19,6.23,7.06,4.16"
"Purwakarta,4.07,5.84,5.07,6.72,3.45"
"Karawang,4.68,5.1,5.93,6.73,4.8"
"Bekasi,3.64,4.6,4.36,4.3,2.38"
"Bandung Barat,4.79,6.25,7.48,7.81,6.04"
"Pangandaran,4.51,5.22,6.04,5.77,4.32"
"Kota Bogor,4.81,7.98,4.86,5.35,3.08"
"Kota Sukabumi,4.74,5.57,5.23,8.46,4.9"
"Kota Bandung,5.85,5.48,3.64,4.55,2.92"
"Kota Cirebon,5.7,6.56,6.85,7.97,5.71"
"Kota Bekasi,5.05,4.88,2.27,3.33,1.79"
"Kota Depok,5.55,4.52,1.99,2.15,1.55"
"Kota Cimahi,6.45,5.43,2.98,4.63,3.23"
"Kota Tasikmalaya,4.24,5.31,5.14,7.92,5.35"
"Kota Banjar,4.24,5.13,5.55,6.4,5.93"
"Cilacap,11.51,10.9,12.29,16.69,15.15"
"Banyumas,8.38,7.98,10.84,11.93,12.01"
"Purbalingga,7.72,8.63,10.08,13.24,12.15"
"Banjarnegara,12.57,11.79,12.14,14.37,12.41"
"Kebumen,9.24,9.2,12,12.46,13.52"
"Purworejo,10.51,11.51,14.71,16.57,15.87"
"Wonosobo,11.57,13.39,12.89,14.92,15.37"
"Magelang,12.36,11.24,11.23,15.84,15.23"
"Boyolali,9.7,9.1,12.73,14.24,13.46"
"Klaten,8.78,10.11,14.46,15.45,14.72"
"Sukoharjo,8.34,8.05,10.31,12.74,11.92"
"Wonogiri,9.37,10.25,10.8,12.82,13.68"
"Karanganyar,6.09,7.09,10.63,10.68,11.92"
"Sragen,8.37,8.12,10.8,11.8,11.8"
"Grobogan,9.63,9.91,13.23,15.88,18.18"
"Blora,13.9,11.19,11.27,15.49,14.02"
"Rembang,10.01,9.17,10.15,11.22,12.89"
"Pati,8.12,8.4,7.78,9.83,11.2"
"Kudus,5.73,5.41,8.36,11.72,11.01"
"Jepara,9.19,7.86,10.02,12.11,11.71"
"Demak,7.71,7.59,7.77,9,8.8"
"Semarang,7.02,7.71,8.28,10.61,10.84"
"Temanggung,11.23,11.72,10.26,14.99,18.48"
"Kendal,7.93,10.03,11.9,13.87,14.62"
"Batang,5.93,6.53,9.38,10.23,11.54"
"Pekalongan,5.47,5.54,6.73,7.8,8.22"
"Pemalang,6.77,6.31,9.47,11.54,10.59"
"Tegal,9.12,9.39,12.25,12.18,11.29"
"Brebes,7.9,7.9,9.37,11,11.22"
"Kota Magelang,9.21,8.68,10.34,9.48,11.07"
"Kota Surakarta,5.8,6.22,7.92,9.52,7.74"
