Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten/kota (Persen)
"Kabupaten/Kota,2025,2024,2023,2022,2021"
"Maluku Barat Daya,30.73,30.33,26.59,27.22,25.98"
"Buru Selatan,36.17,33.01,38.87,29.96,40.88"
"Kota Ambon,24.78,27.62,24.12,24.13,16.23"
"Kota Tual,30.73,27.91,29.31,35.29,26.57"
"Halmahera Barat,36.09,33.55,37.41,38,34.62"
"Halmahera Tengah,19.03,19.43,15.3,25.51,27.03"
"Kepulauan Sula,37.36,35.11,44.37,42.37,42.17"
"Halmahera Selatan,26.77,28.3,30.48,30.67,30.8"
"Halmahera Utara,25.35,29.24,31.22,28.38,29.93"
"Halmahera Timur,27.76,29.13,32.27,31.48,33.37"
"Pulau Morotai,30.71,30.13,30.64,26.8,28.87"
"Pulau Taliabu,34.19,32.64,39.21,38.62,49.84"
"Kota Ternate,21.69,22.16,17.86,24.6,13.6"
"Kota Tidore Kepulauan,28.68,29.05,26.77,30.02,21.58"
"Fakfak,21.22,20.76,24.29,20.23,20.43"
"Kaimana,21.98,20.45,21.91,29.24,25.86"
"Teluk Wondama,15.98,21.08,28.47,32.26,20.26"
"Teluk Bintuni,17.54,19.24,21.48,27.69,20.11"
"Manokwari,19.68,22.18,22.6,28.7,28.74"
"Manokwari Selatan,18.81,20.01,27,30.42,26.34"
"Pegunungan Arfak,30.71,32.68,48.23,54.83,54.25"
"Raja Ampat,24.94,21.95,33.62,29.02,29.44"
"Sorong,26.72,23.54,29.71,28.93,25.44"
"Sorong Selatan,19.8,20.94,28.34,40.87,31.62"
"Maybrat,18.4,18.16,18.13,19.49,22.18"
"Tambrauw,22.72,21.21,34.92,41.74,36.61"
"Kota Sorong,19.29,19.2,17.21,28.1,17.61"
"Jayapura,23.38,21.1,22.44,27.04,29.83"
"Kepulauan Yapen,30.31,28.05,35.24,37.79,35.84"
"Biak Numfor,34.26,32.14,32.58,44.3,36.62"
"Sarmi,35.73,41.91,43.89,40.04,51.06"
"Keerom,39.89,37.83,47.9,38.99,51.04"
"Waropen,33.62,36.35,35.93,33.26,33.2"
"Supiori,34.01,33.58,27.98,21.39,29.63"
"Mamberamo Raya,59.17,52.1,48.03,51.4,38.99"
"Kota Jayapura,12.49,15.85,18.59,24.1,18.46"
"Merauke,13.27,14.29,23.02,24.37,27.39"
"Boven Digoel,37.4,39.74,39.13,38.47,43.21"
"Mappi,42.68,46.32,48.88,39.54,56.26"
"Asmat,36.63,37.04,42.88,33.4,39.37"
"Mimika,20.85,22.09,28.76,31.44,27.33"
"Dogiyai,46.4,57.88,67.17,80.32,79.67"
"Deiyai,48.28,57.91,66.76,70.33,63.65"
"Nabire,20.19,24.93,28.08,28.68,23.86"
"Paniai,39.89,56.52,58.96,70.28,62.78"
"Intan Jaya,31.02,38.16,41.29,55.25,47.98"
"Puncak,48.22,52.86,47.27,39.51,34.54"
"Puncak Jaya,25.1,16.97,39.43,28.11,23.41"
"Nduga,20.55,21.67,20.68,13.88,7.49"
"Jayawijaya,22.29,26.85,30.07,30.4,37.39"
"Lanny Jaya,18.96,12,20.07,22.36,24.85"
"Tolikara,40.94,38.64,51.68,40.25,59.49"
"Mamberamo Tengah,34.21,29.91,26.1,20.15,51"
"Yalimo,23.91,14.72,17.94,26.29,29.08"
"Yahukimo,43.15,46.36,56.8,48.9,54.35"
"Pegunungan Bintang,16.64,17.89,25.43,17.85,43.62"
