"Indikator Pendidikan, 1994-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indikator,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 7-12 tahun, * , * , * , * , * , * , * , * , * , * , * , * , * , 97.64 , 97.88 , 97.95 , 98.02 , 97.62 , 98.02 , 98.42 , 98.92 , 99.09 , 99.09 , 99.14 , 99.22 , 99.24 , 99.26 , 99.19 , 99.10 , 99.16 , 99.19 , 99.23 ,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 13-15 tahun, * , * , * , * , * , * , * , * , * , * , * , * , * , 84.65 , 84.89 , 85.47 , 86.24 , 87.99 , 89.76 , 90.81 , 94.44 , 94.72 , 94.88 , 95.08 , 95.36 , 95.51 , 95.74 , 95.99 , 95.92 , 96.10 , 96.17 , 96.30 ,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 16-18 tahun, * , * , * , * , * , * , * , * , * , * , * , * , * , 55.49 , 55.50 , 55.16 , 56.01 , 57.95 , 61.49 , 63.84 , 70.31 , 70.61 , 70.83 , 71.42 , 71.99 , 72.36 , 72.72 , 73.09 , 73.15 , 73.42 , 74.64 , 77.86 ,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 19-23 tahun,,,,,,,,,,,,,,,,,, 16.48 ,18.02, 22.89 , 25.02 , 25.92 , 26.83 , 27.86 , 27.92 , 26.87 , 27.41 , 27.72 , 27.61 , 28.96 , 29.01 , 29.13 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Partisipasi Kasar (APK) SD Sederajat, * , * , * , * , * , * , * , * , * , * , * , * , * , 112.19 , 111.12 , 110.42 , 111.68 , 102.57 , 104.33 , 107.71 , 108.87 , 110.50 , 109.31 , 108.50 , 108.61 , 107.46 , 106.32 , 106.20 , 106.27 , 105.62 , 104.82 , 104.90 ,,,,,,,,,,,
Angka Partisipasi Kasar (APK) SMP Sederajat, * , * , * , * , * , * , * , * , * , * , * , * , * , 86.37 , 86.86 , 81.25 , 80.59 , 89.83 , 89.49 , 85.96 , 88.63 , 91.17 , 90.12 , 90.23 , 91.52 , 90.57 , 92.06 , 92.80 , 92.11 , 92.51 , 92.21 , 93.02 ,,,,,,,,,,,
Angka Partisipasi Kasar (APK) SMA/SMK Sederajat, * , * , * , * , * , * , * , * , * , * , * , * , * , 59.46 , 59.06 , 62.55 , 62.85 , 64.90 , 68.80 , 66.61 , 74.26 , 78.02 , 80.89 , 82.84 , 80.68 , 83.98 , 84.53 , 85.23 , 85.49 , 86.34 , 87.29 , 89.53 ,,,,,,,,,,,
Angka Partisipasi Kasar (APK) PT 19-23 tahun,,,,,,,,,,,,,,,,,, 21.58 , 22.49 , 27.53 , 31.05 , 25.26 , 27.98 , 29.93 , 30.19 , 30.28 , 30.85 , 31.19 , 31.16 , 31.45 , 32.00 , 32.89 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Partisipasi Murni (APM) SD Sederajat, * , * , * , * , * , * , * , * , * , * , * , * , * , 93.78 , 93.99 , 94.37 , 94.76 , 91.07 , 92.54 , 95.59 , 96.45 , 96.70 , 96.82 , 97.19 , 97.58 , 97.64 , 97.69 , 97.80 , 97.88 , 97.89 , 97.94 , 97.00 ,,,,,,,,,,,
Angka Partisipasi Murni (APM) SMP Sederajat, * , * , * , * , * , * , * , * , * , * , * , * , * , 66.90 , 67.39 , 67.43 , 67.73 , 68.36 , 70.93 , 73.88 , 77.53 , 77.82 , 77.95 , 78.40 , 78.84 , 79.40 , 80.12 , 80.59 , 80.89 , 81.35 , 81.73 , 80.65 ,,,,,,,,,,,
Angka Partisipasi Murni (APM) SMA/SMK Sederajat, * , * , * , * , * , * , * , * , * , * , * , * , * , 44.84 , 44.97 , 45.11 , 45.59 , 48.07 , 51.88 , 54.25 , 59.35 , 59.71 , 59.95 , 60.37 , 60.67 , 60.84 , 61.25 , 61.65 , 61.97 , 62.53 , 64.32 , 67.44 ,,,,,,,,,,,
Angka Partisipasi Murni (APM) PT 19-23 tahun,,,,,,,,,,,,,,,,,, 13.81 , 14.96 , 20.45 , 21.87 , 19.18 , 19.83 , 20.71 , 20.94 , 20.38 , 21.15 , 21.59 , 22.01 , 21.73 , 21.75 , 23.28 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendidikan yang Ditamatkan Penduduk 15 Tahun ke Atas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tidak/belum pernah sekolah, 13.79 , 14.47 , 13.63 , 11.93 , 11.54 , 11.23 , 11.00 , 11.65 , 9.81 , 9.62 , 8.98 , 8.85 , 8.34 , 8.59 , 8.24 , 7.50 , 7.28 , 6.73 , 6.11 , 5.77 , 5.47 , 5.90 , 3.90 , 4.62 , 4.38 , 3.96 , 3.56 , 3.31 , 3.40 , 3.25 , 2.88 , 2.85 ,,,,,,,,,,,
Tidak tamat SD, 22.34 , 23.04 , 20.88 , 19.49 , 19.49 , 18.71 , 18.04 , 17.53 , 16.17 , 15.74 , 15.31 , 15.23 , 14.99 , 14.42 , 14.98 , 14.86 , 12.74 , 15.08 , 14.30 , 14.13 , 13.67 , 12.62 , 12.27 , 12.39 , 13.64 , 12.66 , 11.27 , 10.56 , 9.09 , 9.01 , 8.56 , 8.52 ,,,,,,,,,,,
SD Sederajat, 32.82 , 31.71 , 32.73 , 33.11 , 33.16 , 32.57 , 32.33 , 33.03 , 33.40 , 33.22 , 31.87 , 32.07 , 31.00 , 30.43 , 29.08 , 29.31 , 29.72 , 28.48 , 28.09 , 28.18 , 27.41 , 27.79 , 33.08 , 28.03 , 25.63 , 25.13 , 24.80 , 25.10 , 24.83 , 24.62 , 24.72 , 23.90 ,,,,,,,,,,,
SMP Sederajat, 14.51 , 14.17 , 15.05 , 16.43 , 16.27 , 16.97 , 17.54 , 17.07 , 18.21 , 19.00 , 20.12 , 19.48 , 19.88 , 19.83 , 20.23 , 19.85 , 20.57 , 20.21 , 20.59 , 20.51 , 20.82 , 21.44 , 16.49 , 21.71 , 21.24 , 22.31 , 21.78 , 22.15 , 22.56 , 22.74 , 22.79 , 22.48 ,,,,,,,,,,,
SMA/SMK Sederajat ke Atas, 16.53 , 16.61 , 17.71 , 19.04 , 19.55 , 20.51 , 21.09 , 20.71 , 22.41 , 22.41 , 23.72 , 24.37 , 25.78 , 26.73 , 27.46 , 28.49 , 29.69 , 29.50 , 30.91 , 31.41 , 32.64 , 32.25 , 34.27 , 33.25 , 35.11 , 35.95 , 38.59 , 38.88 , 40.12 , 40.38 , 41.05 , 42.26 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partisipasi Pra Sekolah (sedang/pernah tahun ajaran ini),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usia 3-4 tahun, * , * , * , * , * , * , * , 14.46 , 13.38 , 12.78 , 12.96 , 14.58 , 15.23 , 12.26 , 13.45 , 17.15 , 19.41 , 15.95 , 18.20 , 18.02 , 19.46 , 22.34 , 20.66 , 19.24 , 21.67 , 18.57 , 20.51 , 21.34 , 19.66 , 15.26 , 15.62 , 25.34 ,,,,,,,,,,,
